STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE
Bob's Liquors & Groceries,957,86492,10001,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170312522011000,41.8802960895,-87.7524941982
Quick Stop Food Mart,39791,3604,3000,B,2751 W PRATT BLVD,60645,WEST RIDGE,2,50,17031020601,170310206011001,42.0047500731,-87.6994227766
Whole Foods,41674,5033,68000,A,1340 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002092,41.8645211937,-87.6393040996
Cermak Produce,1515206,279468,25000,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001000,41.7979918700,-87.7234437408
Whole Foods,54059,86298,4501,B,3300 N ASHLAND AVE,60657,LAKE VIEW,6,44,17031062500,170310625001000,41.9415658578,-87.6688604029
Patel Bros,25338,88729,5000,B,2610 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,170310206023013,41.9977473006,-87.6952511581
Ohio Food Mart,1225367,243092,3500,B,5345 W OHIO ST,60644,AUSTIN,25,37,17031251500,170312515002004,41.8910492873,-87.7597328373
Joe's Food & Liquor,822,154,3500,B,3626 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140301,170311403011011,41.9684452460,-87.7194165758
Two Blue Foods Inc,66710,20549,3000,B,702 E 100TH PL,60628,PULLMAN,50,8,17031500100,170315001004015,41.7124037870,-87.6051275894
Jewel Food Store,1353385,259,64285,A,2520 N NARRAGANSETT AVE,60639,BELMONT CRAGIN,19,36,17031831500,170318315001045,41.9262969563,-87.7856948240
200 Liquors,48663,17055,5000,B,204 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381500,170313815001007,41.8094238941,-87.6209518020
Carniceria La Gloria,1471030,271545,6500,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,170316305001004,41.8009692763,-87.6887220987
Whole Foods,1678043,86298,11310,A,1101 S CANAL ST,60607,NEAR WEST SIDE,28,2,17031841900,170318419002074,41.8688897111,-87.6390989281
Peterson Food Mart,1272746,251347,2500,B,2534 W PETERSON AVE,60659,WEST RIDGE,2,50,17031020802,170310208021019,41.9905852147,-87.6935345218
Stanley's,15042,6609,10001,A,1558 N ELSTON AVE,60622,WEST TOWN,24,32,17031842300,170318423001025,41.9105746696,-87.6622352294
Food 4 Less,1884255,251246,58000,A,4821 W NORTH AVE,60639,AUSTIN,25,37,17031250800,170312508001000,41.9095051477,-87.7469599363
Commercial Grocery,56894,23932,2500,B,3004 E 100TH ST,60617,SOUTH DEERING,51,10,17031510100,170315101002007,41.7134978435,-87.5507331066
Jewel Food Store,1953613,259,62603,A,11730 S MARSHFIELD AVE,60643,MORGAN PARK,75,34,17031750500,170317505004003,41.6803322053,-87.6625846787
"La Unica Food Mart, Inc.",491,90,5000,B,1515 W DEVON AVE,60660,EDGEWATER,77,40,17031030200,170310302004002,41.9979934597,-87.6684278857
Mid Town Foods,39968,15264,3520,B,3855 W DIVISION ST,60651,HUMBOLDT PARK,23,27,17031231200,170312312004002,41.9025838739,-87.7236192485
"7400 S Halsted Food And Liquors, Inc.",980,186,10001,A,7400 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813003005,41.7596745819,-87.6444202389
Three Brother,6321,62766,10001,A,900 N FRANCISCO AVE,60622,WEST TOWN,24,26,17031242700,170312427001004,41.8981068159,-87.6993783779
Cuenca's Bakery & Groceries,1619464,292181,4500,B,4229 W MONTROSE AVE,60641,IRVING PARK,16,38,17031160300,170311603003002,41.9607675196,-87.7339469271
Jewel Food Store,1409,259,35000,A,4660 W IRVING PARK RD,60641,PORTAGE PARK,15,45,17031831700,170318317001021,41.9535544384,-87.7450553112
Roman Bros 1 Inc,11900,5925,10001,A,6978 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,170310107022004,42.0088564722,-87.6740803740
Tai Nam Corporation,34508,88874,10001,A,4925 N BROADWAY,60640,UPTOWN,3,48,17031031200,170310312002004,41.9722135570,-87.6596091001
La Jaliscience,4749,23661,3000,B,3239 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001002,41.8443879922,-87.7064970959
Hollywood Tower Mkt,1858,62539,3000,B,5701 N SHERIDAN RD,60660,EDGEWATER,77,48,17031030604,170310306042001,41.9856384210,-87.6550943233
A & R Food Mart,1954411,340750,3500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021018,41.9205964582,-87.7751926809
S. S. Food & Liquor,1476109,272992,2703,B,2427 N CLARK ST,60614,LINCOLN PARK,7,43,17031070101,170310701012002,41.9263716974,-87.6408000783
S L Pantry & Grill,2013420,17935,2600,B,4759 N SHERIDAN RD,60640,UPTOWN,3,46,17031031501,170310315012001,41.9690466747,-87.6546740590
Andys Fruit Ranch,1275209,3868,15000,A,4733 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140800,170311408005008,41.9676291597,-87.7083036873
Whole Foods,1273445,5033,39000,A,1 N HALSTED ST,60661,NEAR WEST SIDE,28,27,17031280100,170312801001038,41.8818156316,-87.6472147170
Save-a-lot,1299911,216203,,A,3939 W OGDEN AVE,60623,NORTH LAWNDALE,29,22,17031843400,170318000000000,41.8512884900,-87.7238508400
W K R B Food & Liquor,25165,10242,4340,B,9361 S COTTAGE GROVE AVE,60619,CHATHAM,44,8,17031440800,170314408002017,41.7238602893,-87.6043647208
Osama Food Mart,2031620,352625,2800,B,615 E 67TH ST,60637,WOODLAWN,42,20,17031421200,170314212001005,41.7729575221,-87.6099733981
El  Paseo  Boricua,1301216,254645,3000,B,2706 W DIVISION ST,60622,WEST TOWN,24,26,17031242600,170312426001013,41.9030542001,-87.6947704208
Food Basket,1682475,291625,2500,B,7205 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813001006,41.7631811950,-87.6442150210
Shop & Save Market,1991275,338404,63426,A,5829 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,170315607002039,41.7960196245,-87.7596833672
Gene's Sausage Shop & Deli,1922145,335302,6000,B,4746 N LINCOLN AVE,60625,LINCOLN SQUARE,4,47,17031040600,170310406003004,41.9677536575,-87.6881717161
Aldi Foods,1868821,5273,16117,A,821 W 115TH ST,60643,WEST PULLMAN,53,34,17031530300,170315303001000,41.6849606404,-87.6430223096
Super Furniture & Food Mart,2060727,357170,4000,B,5257 S ASHLAND AVE,60609,NEW CITY,61,16,17031611900,170316119001005,41.7978225881,-87.6645368783
Aldi Foods,14004,5273,15600,A,4645 W DIVERSEY AVE,60639,HERMOSA,20,31,17031190900,170311909001000,41.9314609382,-87.7437173070
Los Potrillos,1650212,299177,7000,B,3624 W BELMONT AVE,60618,AVONDALE,21,35,17031831100,170318311004023,41.9393095160,-87.7185399405
Mayflower Food,1168793,17975,6000,B,2104 S ARCHER AVE,60616,ARMOUR SQUARE,34,25,17031841100,170318411001021,41.8542653039,-87.6321895068
Municipal Foods,1478386,273724,9980,B,2559 W DIVISION ST,60622,WEST TOWN,24,26,17031242500,170312425001002,41.9028592342,-87.6918885843
Supermercado Tepecoa Guerrero,1493584,277252,3500,B,3629 W 63RD ST,60629,WEST LAWN,65,13,17031650302,170316503021002,41.7786847162,-87.7142516633
Aldi Foods,1226990,5273,20848,A,1246 E 87TH ST,60619,AVALON PARK,45,8,17031834300,170318343005004,41.7369153460,-87.5936566218
Aldi Foods,13998,5273,15540,A,2600 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,170310707002008,41.9286950012,-87.6741950831
Kaps Foods,57817,18562,4100,B,3557 S CALIFORNIA AVE,60632,BRIGHTON PARK,58,12,17031580100,170315801001006,41.8283836447,-87.6946201700
Sanabel Grocery & Bakery,2009055,349374,6200,B,4213 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160601,170311606011005,41.9579834025,-87.7079959151
Alla's Food,1068956,204849,3500,B,2024 E 93RD ST,60617,CALUMET HEIGHTS,48,8,17031480400,170314804004023,41.7262403487,-87.5742922611
Al Bayan Grocery Inc.,1542202,282078,2500,B,3134 N NARRAGANSETT AVE,60634,BELMONT CRAGIN,19,36,17031831500,170318315001015,41.9375646502,-87.7860543686
Gene's Sausage Shop & Deli,1876,371,5000,B,5330 W BELMONT AVE,60641,PORTAGE PARK,15,38,17031151100,170311511002015,41.9387619658,-87.7604070714
Rigo's Grocery,1144306,215370,2500,B,2858 S LAWNDALE AVE,60623,SOUTH LAWNDALE,30,22,17031301702,170313017023004,41.8389367453,-87.7172305546
Walmart,,,,A,10900 S DOTY AVE W,60628,PULLMAN,50,9,17031500200,170315000000000,41.6963136800,-87.5966322400
Chicago Produce,1865,368,13500,A,3500 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140200,170311402003015,41.9684853733,-87.7158713295
Dia Food & Liquor,41854,16133,4500,B,1478 W 115TH ST,60643,MORGAN PARK,75,34,17031750600,170317506004046,41.6849557984,-87.6597258290
"Park Foods Of 71st Street,inc.",1677517,300221,3500,B,2612 W 71ST ST,60629,CHICAGO LAWN,66,18,17031660900,170316609003037,41.7647171389,-87.6887509815
Pete's Market,1476553,273114,5000,B,1543 E 87TH ST,60619,CALUMET HEIGHTS,48,8,17031480200,170314802001001,41.7367954576,-87.5862725091
Hareer Food & Liquor,52337,17625,2500,B,5452 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316121001043,41.7945591033,-87.6453134277
Trader Joe's,1592120,211718,10615,A,44 E ONTARIO ST,60611,NEAR NORTH SIDE,8,42,17031081500,170310815002008,41.8934080204,-87.6264377426
Emilio's Produce,1675623,298914,2500,B,2294 N MILWAUKEE AVE,60647,LOGAN SQUARE,22,1,17031221400,170312214002002,41.9225974657,-87.6970976291
"Grand Palace Supermarket, Inc",49648,17200,3000,B,7131 S STATE ST,60619,GREATER GRAND CROSSING,69,6,17031691000,170316910004006,41.7645736329,-87.6247399651
Aldi Foods,1997726,5273,18263,A,7627 S ASHLAND AVE,60620,AUBURN GRESHAM,71,17,17031710300,170317103001013,41.7549909175,-87.6634041558
Super Mercado La Chiquita,6054,3546,9500,B,3555 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301600,170313016001005,41.8442791237,-87.7145537663
Aldi Foods,1821323,5273,16550,A,10532 S INDIANAPOLIS AVE,60617,EAST SIDE,52,10,17031520100,170315201001079,41.7036623609,-87.5257124268
Carniceria Ricardo,35191,15006,5000,B,4419 W DIVERSEY AVE,60639,HERMOSA,20,31,17031200200,170312002004000,41.9315407469,-87.7375725127
Lindo Michoacan,42744,86194,8600,B,3142 W LAWRENCE AVE,60625,ALBANY PARK,14,33,17031140100,170311401002004,41.9685727721,-87.7077877013
"Super Food & Liquors, Inc.",40429,15748,4000,B,1049 W BRYN MAWR AVE,60660,EDGEWATER,77,48,17031030701,170310307011001,41.9835639150,-87.6571462910
Nayab Mart,1444872,269649,3125,B,2449 W DEVON AVE,60659,WEST RIDGE,2,50,17031020802,170310208024001,41.9975891244,-87.6918369148
Edgewater Produce,16765,6928,7400,B,5509 N CLARK ST,60640,EDGEWATER,77,48,17031030800,170310308001010,41.9819713770,-87.6683210323
Jewel Food Store,1144401,259,29299,A,6430 W IRVING PARK RD,60634,DUNNING,17,38,17031170100,170311701001008,41.9530102332,-87.7877071626
Los Sauces Grocery,1223250,230035,2800,B,5852 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,30,17031190402,170311904022037,41.9312882001,-87.7732414533
The Warehouse,1843355,315225,6000,B,538 W 119TH ST,60628,WEST PULLMAN,53,34,17031530200,170315302003018,41.6779860017,-87.6362008551
Arista Foods,1473367,271891,10000,A,112 N MAY ST,60607,NEAR WEST SIDE,28,27,17031833000,170318330002084,41.8834021216,-87.6557252931
Morse Food And Meat Market,1518304,280735,17000,A,1430 W MORSE AVE,60626,ROGERS PARK,1,49,17031010600,170310106004012,42.0079949199,-87.6671741467
"Calabria Imports, Inc.",1357606,264103,3100,B,1905 W 103RD ST,60643,BEVERLY,72,19,17031720700,170317207001004,41.7064733245,-87.6693549885
Kol Tuv Kosher Foods Inc,12952,6158,3000,B,2938 W DEVON AVE,60659,WEST RIDGE,2,50,17031020601,170310206012018,41.9976012808,-87.7036126719
Aldi Foods,13984,5273,12646,A,6220 N CALIFORNIA AVE,60659,WEST RIDGE,2,50,17031020702,170310207022006,41.9946209588,-87.6996868624
Jewel Food Store,1142451,259,60271,A,1224 S WABASH AVE,60605,NEAR SOUTH SIDE,33,2,17031330100,170313301001004,41.8667243541,-87.6259611484
Washington Grocery,6249,23967,4200,B,4139 W FIFTH AVE,60624,WEST GARFIELD PARK,26,24,17031261000,170312610002013,41.8718636117,-87.7290573726
Walgreens,18449,147,,A,3405 S DR MARTIN LUTHER KING JR DR,60616,DOUGLAS,35,4,17031351000,170314000000000,41.8326245000,-87.6168411000
Fairway Food,2031993,352796,3000,B,2900 E 79TH ST,60649,SOUTH SHORE,43,7,17031431301,170314313011010,41.7520053919,-87.5540154169
Fresh Market Place,1382145,266140,20000,A,2600 N CENTRAL AVE,60639,BELMONT CRAGIN,19,30,17031190602,170311906022018,41.9276476796,-87.7662665211
The Fish Keg Inc,4908,3299,4000,B,2233 W HOWARD ST,60645,WEST RIDGE,2,49,17031020100,170310201002001,42.0193947424,-87.6860204976
Nance Food Mart,4756,3277,4500,B,10935 S WENTWORTH AVE,60628,ROSELAND,49,34,17031491000,170314910002007,41.6951531575,-87.6278202407
Riviera Foods,39650,89265,3500,B,3218 N HARLEM AVE,60634,DUNNING,17,36,17031170800,170311708001011,41.9385912816,-87.8069148007
J K & S Food & Liquor,1000978,32337,3024,B,503 W 59TH ST,60621,ENGLEWOOD,68,20,17031834600,170318346002004,41.7870390747,-87.6378127282
K & K Food & Liquor,62092,23937,4200,B,1130 W 51ST ST,60609,NEW CITY,61,16,17031611000,170316110001031,41.8015768439,-87.6537884728
William's Produce,2079521,359604,6375,B,6309 W GRAND AVE,60639,BELMONT CRAGIN,19,29,17031191301,170311913013002,41.9218942299,-87.7833975200
Chatham Food Market,1904290,331037,4500,B,327 E 79TH ST,60619,CHATHAM,44,6,17031440300,170314403002001,41.7509726753,-87.6169578802
Jewel Food Store,1406,259,29060,A,4042 W FOSTER AVE,60630,NORTH PARK,13,39,17031130200,170311302001019,41.9756241124,-87.7298445616
Cupboard Food & Liquor,7110,3758,3000,B,3260 W 55TH ST,60632,GAGE PARK,63,14,17031630300,170316303002035,41.7935891795,-87.7059457835
Paulina Market,1680919,301699,10000,A,3501 N LINCOLN AVE,60657,LAKE VIEW,6,32,17031831900,,41.9452541584,-87.6723897932
Carniceria Guanajuato,17340,63206,8800,B,1436 N ASHLAND AVE,60622,WEST TOWN,24,1,17031241500,170312415002000,41.9081153739,-87.6677638335
Pete's Market,1598145,292834,50000,A,3448 E 118TH ST,60617,HEGEWISCH,55,10,17031550100,170315501005014,41.6810595555,-87.5393675414
Whole Foods,1678035,86298,6335,B,6020 N CICERO AVE,60646,FOREST GLEN,12,39,17031120200,170311202004001,41.9904947718,-87.7484774142
E.M. Groceries,4863,3289,4500,B,5358 S CARPENTER ST,60609,NEW CITY,61,16,17031612000,170316120002009,41.7961289732,-87.6514349028
Save-a-lot,1196076,216203,12500,A,4439 W 63RD ST,60629,WEST LAWN,65,13,17031650301,170316503011004,41.7784159744,-87.7340575715
"Latin Grocery & Liquor, Inc",20046,8064,10001,A,3800 W NORTH AVE,60647,HUMBOLDT PARK,23,30,17031230400,170312304002014,41.9100494194,-87.7214580839
Athens Grocery,971,185,2600,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28,27,17031833100,170318331001028,41.8771621281,-87.6473642897
Jewel Food Store,1411,259,10001,A,1655 E 95TH ST,60617,SOUTH DEERING,51,7,17031510300,170315103003000,41.7222631981,-87.5829176346
M & J Liquor & Grocery,15168,6639,2900,B,3654 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140301,170311403011010,41.9684345799,-87.7204810114
Thrifty Food,1045545,28478,4000,B,928 W WILSON AVE,60640,UPTOWN,3,46,17031031501,170310315013003,41.9655577007,-87.6535592790
Whole Foods,41629,5033,10001,A,3145 S ASHLAND AVE,60608,MCKINLEY PARK,59,11,17031840400,170318404001032,41.8364683477,-87.6655669021
Save-a-lot,1245433,216203,15000,A,7908 S HALSTED ST,60620,AUBURN GRESHAM,71,17,17031710800,170317108001009,41.7503223874,-87.6441824061
Carniceria La Gloria,1514813,279304,7500,B,2744 W 55TH ST,60632,GAGE PARK,63,14,17031630500,170316305003017,41.7938118263,-87.6931506024
Whole Foods,41633,5033,10001,A,6312 N NAGLE AVE,60646,NORWOOD PARK,10,41,17031100200,170311002002001,41.9959852861,-87.7876371171
Strack & Van Til,1798602,308026,65400,A,2627 N ELSTON AVE,60647,LOGAN SQUARE,22,1,17031830900,170318309001006,41.9294892740,-87.6836878249
Corcorans Pantry Inc,9412,4333,4200,B,1105 W BRYN MAWR AVE,60660,EDGEWATER,77,48,17031030701,170310307011003,41.9835447852,-87.6582676725
Jewel Food Store,1372,259,17676,A,4734 N CUMBERLAND AVE,60656,OHARE,76,36,17031760802,170317608021009,41.9660114013,-87.8368311691
Supermercado El Guero No. 8,20973,8662,14000,A,2101 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031841300,170318413001000,41.8520256918,-87.6784122433
3600 Commissary,24279,9830,3800,B,3600 N LAKE SHORE DR,60613,LAKE VIEW,6,46,17031060900,170310609004001,41.9486836744,-87.6436497585
La Cienega Super Food Inc,65173,20310,10000,A,10736 S EWING AVE,60617,EAST SIDE,52,10,17031520300,170315203003000,41.6998148465,-87.5354268905
Morelia Supermarket,1648410,298039,12000,A,4833 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190800,170311908001001,41.9314062910,-87.7479369735
Burnham Plaza Mart,2014232,350131,2950,B,828 S WABASH AVE,60605,LOOP,32,2,17031320600,170313206002012,41.8714441963,-87.6260751303
International Foods Nw Inc,1129,215,14000,A,4404 W FULLERTON AVE,60639,HERMOSA,20,31,17031200200,170312002003012,41.9244726356,-87.7367895050
Michaels Fresh Market,2043177,354856,41000,A,1300 E 47TH ST,60653,KENWOOD,39,4,17031390100,170313901001017,41.8097727266,-87.5949608909
M & D Variety Store,18355,7524,4500,B,1300 W 111TH ST,60643,MORGAN PARK,75,34,17031750100,170317501004020,41.6923196266,-87.6546632113
Jewel Food Store,1192905,259,63407,A,1220 S ASHLAND AVE,60608,NEAR WEST SIDE,28,2,17031842900,170318429004020,41.8662541761,-87.6665241401
Three Stars Liquors,1488855,274865,4600,B,310 N KOSTNER AVE,60624,WEST GARFIELD PARK,26,28,17031260400,170312604001012,41.8858229904,-87.7357878114
79 Food Basket,1958784,341069,3000,B,1351 W 79TH ST,60620,AUBURN GRESHAM,71,21,17031710700,170317107001012,41.7503211206,-87.6581890529
Jewel Food Store,2037181,259,62349,A,3630 N SOUTHPORT AVE,60613,LAKE VIEW,6,44,17031060400,170310604002006,41.9480045508,-87.6641862307
Ashland Food And Liquors,11636,5463,10001,A,1554 W 95TH ST,60643,WASHINGTON HEIGHTS,73,21,17031730201,170317302011018,41.7213269867,-87.6625336585
Rose-ridge Foods,1145417,216010,3000,B,10500 S MICHIGAN AVE,60628,ROSELAND,49,9,17031490902,170314909022043,41.7034152187,-87.6208096791
Cottage Grove Food Mart,1898994,329883,4000,B,6307 S COTTAGE GROVE AVE,60637,WOODLAWN,42,20,17031420800,170314208001004,41.7801519592,-87.6057775241
T & Z Meat,1974575,343806,3000,B,3021 N CICERO AVE,60641,BELMONT CRAGIN,19,31,17031190100,170311901001017,41.9358159257,-87.7466186972
"La Loma ""carniceria Y Taqueria""",49880,17241,4501,B,2535 N LARAMIE AVE,60639,BELMONT CRAGIN,19,31,17031190800,170311908004009,41.9270360931,-87.7561061830
Carniceria Jimenez,48081,16943,19000,A,3850 W FULLERTON AVE,60647,LOGAN SQUARE,22,30,17031220701,170312207013015,41.9246283205,-87.7239533210
Hoa Nom Co,8425,62866,4200,B,1101 W ARGYLE ST,60640,UPTOWN,3,48,17031031200,170310312002002,41.9731612999,-87.6578331796
Royla Blue Foods,27007,63611,2500,B,4359 S CAMPBELL AVE,60632,BRIGHTON PARK,58,12,17031580700,170315807003013,41.8139376802,-87.6869220140
Jewel Food Store,1400,259,21785,A,6057 S WESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,170318350001001,41.7830611377,-87.6835988697
Quintessence,2033012,350756,3000,B,1532 N PULASKI RD,60651,HUMBOLDT PARK,23,30,17031230600,170312306001006,41.9091077550,-87.7266341469
Cermak Produce,1476654,273149,29000,A,4234 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160501,170311605011009,41.9585967247,-87.7083095759
Old World Market,7507,3851,10001,A,5129 N BROADWAY,60640,UPTOWN,3,48,17031031200,170310312003004,41.9754753986,-87.6596970117
Mehrab Zabiha Meat & Tobacco,1094121,207539,3000,B,2445 W DEVON AVE,60659,WEST RIDGE,2,50,17031020802,170310208024001,41.9975920168,-87.6916681219
King Food & Liquor,40321,2926,3750,B,6858 S HALSTED ST,60621,ENGLEWOOD,68,6,17031681100,170316811001011,41.7689262968,-87.6446559970
Paulina Super Market Inc,4851,3286,7000,B,7622 N PAULINA ST,60626,ROGERS PARK,1,49,17031010100,170310101002010,42.0200873150,-87.6732345632
Aldi Foods,13986,5273,12300,A,3363 N MILWAUKEE AVE,60641,IRVING PARK,16,30,17031161300,170311613002008,41.9423835134,-87.7290108595
Aldi Foods,14006,5273,9495,B,1739 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318432002043,41.8521511995,-87.6700746019
"My Ranch, Inc.",1899688,20694,8500,B,4650 N SHERIDAN RD,60640,UPTOWN,3,46,17031830700,170310315011002,41.9669775683,-87.6549446417
Save-a-lot,1167119,216203,114100,A,10700 S HALSTED ST,60628,MORGAN PARK,75,34,17031750100,170317501001000,41.6995474147,-87.6427519151
Mario 's Butcher Shop Fd Cntr,4248,85432,10001,A,5817 W MADISON ST,60644,AUSTIN,25,29,17031252101,170312521011003,41.8800449808,-87.7704933793
Bockwinkels,1491357,276156,7200,B,222 N COLUMBUS DR,60601,LOOP,32,42,17031320100,170313201002032,41.8863394160,-87.6208361500
Supermercado Alex,1772307,4076,9375,B,4134 W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031301803,170313018032019,41.8369472381,-87.7281423632
Halal Meat & Grocery,55665,18191,2500,B,1414 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,170310106003008,41.9982373871,-87.6661711005
South Shore Food Market Inc.,2008403,349092,3000,B,7501 S JEFFERY BLVD,60649,SOUTH SHORE,43,8,17031431200,170314312002008,41.7587872873,-87.5759934845
Supermercado El Mexicano,1840895,295467,4387,B,6701 N CLARK ST,60626,ROGERS PARK,1,49,17031830600,170318306002009,42.0035849743,-87.6723519319
La Providencia Food Mart,16986,6991,2572,B,1658 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,170313108003010,41.8542193742,-87.6684581591
Aldi Foods,1515471,5273,15150,A,7800 S SOUTH CHICAGO AVE,60619,AVALON PARK,45,5,17031834300,170318343002003,41.7527456405,-87.5875234853
Whole Foods,41625,5033,10001,A,3350 N WESTERN AVE,60618,NORTH CENTER,5,47,17031843700,170318437001022,41.9427471952,-87.6883543215
Family Pride,77270,22785,12500,A,10601 S PULASKI RD,60655,MOUNT GREENWOOD,74,19,17031740200,170317402002010,41.7003552742,-87.7205408964
Aldi Foods,13974,5273,12571,A,2431 W MONTROSE AVE,60618,NORTH CENTER,5,47,17031050300,170310503001001,41.9611940986,-87.6899669704
Carniceria La Villa #2,2060542,357089,3289,B,5800 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021021,41.9197749010,-87.7707265258
Treasure Island Foods,1303,85291,10001,A,75 W ELM ST,60610,NEAR NORTH SIDE,8,42,17031081000,170310810001000,41.9030261368,-87.6313487722
Jewel Food Store,1398,259,24262,A,1341 N PAULINA ST,60622,WEST TOWN,24,1,17031241500,170312415002012,41.9062437031,-87.6698622813
Whole Foods,1933690,86298,74883,A,1550 N KINGSBURY ST,60642,NEAR NORTH SIDE,8,32,17031842200,170318422001017,41.9093987878,-87.6530506979
Jewel Food Store,6157,62754,3000,B,8235 W IRVING PARK RD,60634,DUNNING,17,36,17031170500,170311705003004,41.9520185577,-87.8331668434
Harper Foods,57683,18537,3300,B,1455 E 57TH ST,60637,HYDE PARK,41,5,17031411100,170314111002000,41.7914105694,-87.5895326278
Potash Bros. Supermarket,164,21,12000,A,1525 N CLARK ST,60610,NEAR NORTH SIDE,8,42,17031080201,170310802012003,41.9101179449,-87.6314908914
Baltimore Food & Liquor,1446831,270755,3404,B,13322 S BALTIMORE AVE,60633,HEGEWISCH,55,10,17031550100,170315501004012,41.6529646117,-87.5472986528
Supermercado Santos,1091886,206261,4000,B,4045 W 31ST ST,60623,SOUTH LAWNDALE,30,22,17031830500,170318305001001,41.8367499608,-87.7261326568
Cermak Produce,53313,17784,10000,A,4800 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190200,170311902004016,41.9316414204,-87.7467199106
Nickel Liquor & Mini Mart Inc,22084,9178,10001,A,3637 W DIVISION ST,60651,HUMBOLDT PARK,23,27,17031231200,170312312001002,41.9026337556,-87.7179312389
Trader Joe's,1277005,211718,11600,A,1840 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031832600,170318326002019,41.9144237141,-87.6546278430
Walgreens,18419,147,,A,1554 E 55TH ST,60615,HYDE PARK,41,4,17031410800,170314000000000,41.7952973200,-87.5878225600
"Tony's Finer Foods Enterprises, Inc.",1717529,305203,31000,A,4137 N ELSTON AVE,60618,IRVING PARK,16,39,17031160400,170311604001027,41.9561262015,-87.7224828263
