STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE
Natural Country Deli,2017781,350688,3500,B,6452 N MILWAUKEE AVE,60631,NORWOOD PARK,10,41,17031100200,170311002001019,41.9984929696,-87.7890953687
Logan Certified Foods Corp,1046303,23391,4500,B,2857 W DIVERSEY AVE,60647,LOGAN SQUARE,22,35,17031220400,170312204001003,41.9319704700,-87.6999316190
Jewel Food Store,1366,259,30374,A,5320 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316202001001,41.7961975914,-87.7233918834
Mounsef International,21126,86704,10001,A,4738 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140701,170311407011000,41.9677930872,-87.7086027049
El Yunque Food & Liquor,1986802,346323,2500,B,1900 N CALIFORNIA AVE,60647,LOGAN SQUARE,22,35,17031222500,170312225001000,41.9157610232,-87.6972958109
"Seven Nine Eleven Food Mart, Inc.",2036,401,4300,B,4884 S ARCHER AVE,60632,ARCHER HEIGHTS,57,14,17031570400,170315704002008,41.8046211506,-87.7199070655
A & R Food Mart,9125,4227,2500,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913021018,41.9205964582,-87.7751926809
Grand Food Market,1221783,223107,3952,B,5202 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191200,170311912002006,41.9170677465,-87.7560413324
Sam Food And Liquor,8745,4153,3000,B,6812 N SHERIDAN RD,60626,ROGERS PARK,1,49,17031010502,170310105022000,42.0059448161,-87.6611747511
Almuflihi Food & Liquor,62800,86373,4500,B,5404 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316121001039,41.7958707987,-87.6453441182
Pete's Market,1646096,296662,7500,B,2001 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031672000,170316720003002,41.7646961210,-87.6735927847
Five Star Certified Inc,7168,3771,5000,B,935 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711400,170317114002006,41.7359084057,-87.6474228803
Whole Foods,1574461,5033,49320,A,255 E GRAND AVE,60611,NEAR NORTH SIDE,8,42,17031081403,170310814031010,41.8916898398,-87.6204441348
Super Mercado El Guerro,7546,3857,9375,B,1701 W 47TH ST,60609,NEW CITY,61,20,17031611300,170316113003000,41.8084712383,-87.6674545133
Pete's Market,1771242,312119,,A,2526 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318000000000,41.8521006500,-87.6890511100
Chicago Health - Maple Street,2065274,357879,2900,B,22 W MAPLE ST,60610,NEAR NORTH SIDE,8,42,17031081100,170310811003002,41.9019825524,-87.6292631031
New Pop-in,1719179,306063,8784,B,413 S KEDZIE AVE,60612,EAST GARFIELD PARK,27,28,17031271200,170312712001033,41.8754237451,-87.7058203625
W & R Food & Liquor Inc,19348,7922,2700,B,1717 E 79TH ST,60649,SOUTH CHICAGO,46,8,17031460500,170314605007008,41.7514187003,-87.5822058165
"Kan-zaman Mart, Inc.",1119908,209575,4600,B,2005 S MICHIGAN AVE,60616,NEAR SOUTH SIDE,33,2,17031330100,170313301004046,41.8553176710,-87.6237265152
Z & S Food & Liquor,7382,3827,6000,B,1351 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711400,170317114001000,41.7357569772,-87.6578282347
Devon Market,1042888,201952,18500,A,1440 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,170310106003012,41.9982282538,-87.6671044665
Jewel Food Store,1404,259,32294,A,9400 S ASHLAND AVE,60620,WASHINGTON HEIGHTS,73,21,17031730300,170317303001029,41.7229412182,-87.6628628713
Orleans Market,23467,9485,3002,B,316 W ILLINOIS ST,60610,NEAR NORTH SIDE,8,42,17031081800,170310818002056,41.8908642852,-87.6363291879
Caesar's Foods Inc,13670,6312,10001,A,901 N DAMEN AVE,60622,WEST TOWN,24,32,17031242200,170312422002006,41.8977792769,-87.6769588663
Happy Foods,1618660,294177,11000,A,6783 N NORTHWEST HWY,60631,EDISON PARK,9,41,17031090200,170310902004007,42.0043992612,-87.8184857554
"Way Low Discount Food, Inc.",41036,16053,2500,B,1551 S KEDZIE AVE,60623,NORTH LAWNDALE,29,24,17031843100,170318431001029,41.8598459614,-87.7053385540
Zee Dollar And Food,2014197,350114,3000,B,375 E 75TH ST,60619,GREATER GRAND CROSSING,69,6,17031691300,170316913001000,41.7582933150,-87.6153541087
J R Grocery Store,5644,3466,10001,A,505 E 134TH ST,60827,RIVERDALE,54,9,17031540101,170315401011006,41.6517610645,-87.6093666123
Centro Market,66257,20469,9100,B,5153 S KEDZIE AVE,60632,GAGE PARK,63,14,17031630400,170316304004004,41.7992570437,-87.7035747066
Save-a-lot,1145759,216203,14166,A,7240 S STONY ISLAND AVE,60649,SOUTH SHORE,43,5,17031430400,170314304002007,41.7630223653,-87.5863901619
"Tony's Finer Foods Enterprises, Inc.",1717532,305203,33000,A,4608 W BELMONT AVE,60641,PORTAGE PARK,15,30,17031151002,170311510024000,41.9389938243,-87.7426989895
Food 4 Less,1272529,251246,64486,A,4620 S DAMEN AVE,60609,NEW CITY,61,12,17031610300,170316103003015,41.8096685280,-87.6751156964
Adams Food Mart,1817376,316090,2500,B,559 N LARAMIE AVE,60644,AUSTIN,25,28,17031251600,170312516003011,41.8910335471,-87.7553096457
Dollar & Linen,1875260,46290,5800,B,1853 W 87TH ST,60620,AUBURN GRESHAM,71,21,17031711300,170317113001005,41.7355890742,-87.6699517263
Aldi Foods,1242812,5273,15000,A,5629 W FILLMORE ST,60644,AUSTIN,25,29,17031831400,170318314002056,41.8673156479,-87.7655979430
Richwell Market,1070189,205927,7500,B,1835 S CANAL ST,60616,LOWER WEST SIDE,31,25,17031843200,170318432002008,41.8566571782,-87.6387533453
Walgreens,18768,7551,,A,6315 S KEDZIE AVE,60629,CHICAGO LAWN,66,15,17031660600,170317000000000,41.7784213400,-87.7029760600
Whole Foods,41645,5033,10001,A,6009 N BROADWAY,60660,EDGEWATER,77,48,17031030101,170310301011003,41.9911817534,-87.6601550832
Budget Finer Foods,1337515,260726,3200,B,6604 N SHERIDAN RD,60626,ROGERS PARK,1,49,17031010502,170310105021006,42.0027261067,-87.6609383664
Discount Pantry Corporation,32952,14616,3600,B,4153 W 63RD ST,60629,WEST LAWN,65,13,17031650301,170316503013003,41.7784929073,-87.7273275190
Par Birdie Foods,28222,11464,6000,B,2234 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310205002010,41.9979009735,-87.6863782179
Jewel Food Store,1375,259,22443,A,2940 N ASHLAND AVE,60657,LAKE VIEW,6,32,17031062600,170310626001023,41.9354720327,-87.6686545431
Charlies  Supermarket Inc.,1441898,268397,2500,B,2941 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160601,170311606012000,41.9611144263,-87.7025869386
Jewel Food Store,1192909,259,56010,A,3400 N WESTERN AVE,60618,NORTH CENTER,5,47,17031843700,170318437001018,41.9431873732,-87.6883020207
Pete's Market,1336669,260303,57000,A,4343 S PULASKI RD,60632,ARCHER HEIGHTS,57,14,17031570100,170315701001015,41.8139143113,-87.7236649419
La Feria Grocery,26609,11067,10001,A,9704 S COMMERCIAL AVE,60617,SOUTH DEERING,51,10,17031510100,170315101002033,41.7189121563,-87.5511742972
Potash Bros Inc,19826,8018,10001,A,875 N STATE ST,60610,NEAR NORTH SIDE,8,42,17031081201,170310812012003,41.8988781974,-87.6281111483
Imperial Tower Market,22624,9323,6031,B,4250 N MARINE DR,60613,UPTOWN,3,46,17031031400,170310314001001,41.9600199540,-87.6469060276
Moo & Oink Inc,11915,5928,21500,A,4848 W MADISON ST,60644,AUSTIN,25,28,17031251800,170312518004015,41.8805838854,-87.7470529414
Save-a-lot,2079367,216203,16290,A,344 E 63RD ST,60637,WASHINGTON PARK,40,20,17031400800,170314008001008,41.7803216101,-87.6171353804
Market In The Park,1334026,258947,5049,B,5050 S LAKE SHORE DR,60615,KENWOOD,39,4,17031390700,170313907003004,41.8028797781,-87.5818436939
Sun Liquors,19461,88712,4350,B,1101 W GRANVILLE AVE,60660,EDGEWATER,77,48,17031030102,170310301022001,41.9944657079,-87.6583928132
Supermercado Chapala,32236,86830,10001,A,7117 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,170310107024002,42.0119757995,-87.6743840578
Supermercado Gela's,67273,20695,3125,B,2701 S LAWNDALE AVE,60623,SOUTH LAWNDALE,30,22,17031301701,170313017012003,41.8424245295,-87.7170303155
Farm Super Market,2017764,339512,3000,B,2255 W DEVON AVE,60659,WEST RIDGE,2,50,17031020901,170310209011002,41.9976669579,-87.6872134560
Aldi Foods,13964,5273,13981,A,5775 S ARCHER AVE,60638,GARFIELD RIDGE,56,23,17031560700,170315607002042,41.7963804895,-87.7573475722
Aldi Foods,13976,5273,11760,A,1767 N MILWAUKEE AVE,60647,WEST TOWN,24,32,17031831000,170318310001003,41.9135877900,-87.6822028354
Eddie & Son Food &liq.,4146,3169,2500,B,3624 W NORTH AVE,60647,HUMBOLDT PARK,23,26,17031230400,170312307001000,41.9100926711,-87.7175753532
La Casa Del Pueblo Inc,31675,14392,10001,A,1810 S BLUE ISLAND AVE,60608,LOWER WEST SIDE,31,25,17031310600,170313106002008,41.8574527464,-87.6616883311
Aldi Foods,1817903,5273,15255,A,4500 N BROADWAY,60640,UPTOWN,3,46,17031830700,170318307004004,41.9637889643,-87.6566064924
Fairplay Finer Food,10940,86481,10001,A,2200 S WESTERN AVE,60608,LOWER WEST SIDE,31,25,17031841300,170318413002001,41.8519838396,-87.6857857042
Laramie Bakery & Deli,2014141,350093,12331,A,3232 N HARLEM AVE,60634,DUNNING,17,36,17031170800,170311708001011,41.9389859689,-87.8069290648
B & H Food & Grocery,6068,3550,4500,B,713 S ALBANY AVE,60612,EAST GARFIELD PARK,27,28,17031837300,170318373001010,41.8723500430,-87.7032726418
Fruteria El Mercado,21239,8832,5500,B,2759 S SPAULDING AVE,60623,SOUTH LAWNDALE,30,22,17031840800,170318408001015,41.8409331636,-87.7072241769
Mandy's Liquor,17168,7030,3000,B,1957 W LAWRENCE AVE,60640,LINCOLN SQUARE,4,47,17031830800,170318308001003,41.9686561373,-87.6784384790
Aldi Foods,1519765,5273,15154,A,4934 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031630300,170316303002000,41.8034457131,-87.7039862718
The Market Place Foodstore,10794,24875,16900,A,521 W DIVERSEY PKWY,60614,LINCOLN PARK,7,43,17031070102,170310701022000,41.9327439571,-87.6422188452
Eddie's Food Mart,50432,17311,4500,B,1858 W 63RD ST,60636,WEST ENGLEWOOD,67,15,17031670600,170316706002016,41.7794611564,-87.6714366715
Riverside Deli,6403,3619,5500,B,1656 W CORTLAND ST,60622,LOGAN SQUARE,22,32,17031832300,170318323001048,41.9161861150,-87.6701349439
Foodsmart,1474028,272175,13800,A,2901 W ARMITAGE AVE,60647,LOGAN SQUARE,22,35,17031222500,170312225001004,41.9173585451,-87.6993410687
Supermarket & Taqueria Caro,2014104,310507,4524,B,4937 W 47TH ST,60638,GARFIELD RIDGE,56,23,17031560300,170315603001003,41.8074608778,-87.7470605710
H & Z Grocery Store,3166,2823,10001,A,3638 W WRIGHTWOOD AVE,60647,LOGAN SQUARE,22,35,17031220702,170312207024010,41.9283452514,-87.7186708995
Seven Eleven,34710,14901,3000,B,1425 W MONTROSE AVE,60613,LAKE VIEW,6,47,17031060100,170310601001000,41.9615238247,-87.6660398556
Aldi Foods,13994,5273,15565,A,3835 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260800,170312608001000,41.8806594115,-87.7221936689
Aldi Foods,1817904,5273,11179,A,6520 W FULLERTON AVE,60707,BELMONT CRAGIN,19,36,17031831500,170318315001045,41.9237604017,-87.7887477626
Loreto Grocery,76774,22681,4499,B,4600 S FAIRFIELD AVE,60632,BRIGHTON PARK,58,12,17031842800,170318428002005,41.8100014783,-87.6931813523
Lux 2 Food & Liquor,1869021,322813,2500,B,7550 S MAY ST,60620,AUBURN GRESHAM,71,17,17031710200,170317102004006,41.7561626996,-87.6528196032
Around The Clock,15860,6777,3000,B,1605 W HOWARD ST,60626,ROGERS PARK,1,49,17031010202,170310102021000,42.0192651821,-87.6715720734
County Fair Foods,37096,15344,10001,A,10800 S WESTERN AVE,60643,MORGAN PARK,75,19,17031750300,170317503001022,41.6972382088,-87.6814748042
Lawndale Food Market,39529,15829,6000,B,3705 W 16TH ST,60623,NORTH LAWNDALE,29,24,17031292200,170312922003000,41.8588339683,-87.7178671863
"Hyde Park Produce, Ltd",1884100,325993,10000,A,1226 E 53RD ST,60615,HYDE PARK,41,4,17031410700,170314107001003,41.7995768022,-87.5955129219
Khalil Food & Liquor,46846,16717,3000,B,146 W 103RD ST,60628,ROSELAND,49,9,17031490700,170314907002019,41.7072181390,-87.6277515583
Aldi Foods,13992,5273,15565,A,2828 N CENTRAL AVE,60634,BELMONT CRAGIN,19,31,17031190402,170311904022031,41.9321576791,-87.7664245988
Sunrise Food And Liquors,21927,9067,7000,B,3737 W CHICAGO AVE,60651,HUMBOLDT PARK,23,27,17031231500,170312315006001,41.8953147590,-87.7201998415
Boulevard Food & Liquor Llc,1931999,336958,3350,B,5922 W IRVING PARK RD,60634,PORTAGE PARK,15,38,17031150402,170311504022018,41.9531825896,-87.7752593753
Save-a-lot,1272454,216203,12000,A,2858 E 83RD ST,60617,SOUTH CHICAGO,46,7,17031460302,170314603024017,41.7447308395,-87.5540391375
Ada Foods,50473,56673,4500,B,1281 W 71ST ST,60636,WEST ENGLEWOOD,67,17,17031671800,170316718001000,41.7648941814,-87.6573078048
The Neighborhood Store,47617,16859,4200,B,8313 S RACINE AVE,60620,AUBURN GRESHAM,71,21,17031711000,170317110001007,41.7427877337,-87.6533842508
"S & K Food & Liquor, Inc.",1544,291,10001,A,7500 S EXCHANGE AVE,60649,SOUTH SHORE,43,7,17031431302,170314313022001,41.7589927618,-87.5603778108
Am-pm Food Mart & Cellular,1093813,207399,3500,B,1924 E 87TH ST,60617,AVALON PARK,45,8,17031450300,170314503003028,41.7371462539,-87.5770809934
Morelia Supermarket,1892862,243702,8000,B,7300 N WESTERN AVE,60645,WEST RIDGE,2,50,17031020200,170310202002007,42.0141839829,-87.6903783498
Whole Foods,2042094,5033,55129,A,5201 N SHERIDAN RD,60640,EDGEWATER,77,48,17031030706,170310307061008,41.9764816676,-87.6548397772
Walmart,2164075,303471,,A,1424 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318000000000,41.8087682900,-87.6609882100
Aldi Foods,1743165,5273,16890,A,7545 S WESTERN AVE,60620,ASHBURN,70,18,17031700100,170317001002053,41.7560350910,-87.6828583216
Treasure Island Foods,1311,85291,10001,A,3460 N BROADWAY,60657,LAKE VIEW,6,44,17031062000,170310620002000,41.9448282656,-87.6458934884
Olive Mount Mart,1337266,205718,3000,B,3536 W 63RD ST,60629,CHICAGO LAWN,66,15,17031660400,170316604003014,41.7789401249,-87.7118685723
Jewel Food Store,1394,259,19238,A,5516 N CLARK ST,60640,EDGEWATER,77,40,17031030900,170310309001000,41.9821898846,-87.6686516280
Furteria El Serranito,2031979,352794,2500,B,1755 W 38TH ST,60609,MCKINLEY PARK,59,11,17031590700,170315907001015,41.8248606245,-87.6700230192
Peoria Packing Ltd,33970,14795,8000,B,1300 W LAKE ST,60607,NEAR WEST SIDE,28,27,17031833000,170318330002051,41.8855804200,-87.6589569108
Carniceria Jimenez,1693,85292,16000,A,4204 W NORTH AVE,60639,HUMBOLDT PARK,23,30,17031230500,170312306004000,41.9099252471,-87.7315572163
Extra Value Food & Liquor,1823321,319024,5000,B,6257 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,16,17031670800,170316708002029,41.7796146658,-87.6640774893
Goldmore Food,34046,14804,2500,B,1949 W 51ST ST,60609,NEW CITY,61,16,17031611700,170316117003002,41.8011278091,-87.6740803441
Solid Gold,1490386,203033,3300,B,3821 W ROOSEVELT RD,60624,NORTH LAWNDALE,29,24,17031838700,170318387001005,41.8661194940,-87.7209275740
Food 4 Less,1596210,251246,62000,A,7030 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,17,17031671500,170316715003031,41.7657907704,-87.6639668865
Clarendon Food Mart Inc,29515,11687,10000,A,4183 N CLARENDON AVE,60613,UPTOWN,3,46,17031031400,170310314003003,41.9580048015,-87.6496537356
Jewel Food Store,1144384,259,37641,A,443 E 34TH ST,60616,DOUGLAS,35,4,17031351000,170313510002003,41.8330447382,-87.6146113644
La Plama,22662,63389,15000,A,4173 S ARCHER AVE,60632,BRIGHTON PARK,58,14,17031580501,170315805012012,41.8175793077,-87.6983205863
Super Mas Market,1997806,347422,32000,A,1422 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318426002060,41.8087654583,-87.6611701084
Carniceria El Porvenir,1768971,311076,2500,B,150 E KENSINGTON AVE,60628,WEST PULLMAN,53,9,17031530100,170315301001016,41.6840631980,-87.6187429679
Rj Liquors,1597198,292263,3550,B,5640 W FULLERTON AVE,60639,BELMONT CRAGIN,19,30,17031190602,170311906022035,41.9240644164,-87.7676604864
Jewel Food Store,1337,259,24922,A,4729 N CENTRAL AVE,60630,PORTAGE PARK,15,45,17031150300,170311503007003,41.9667971120,-87.7672994806
Prestige Liquors,1883995,325934,2900,B,7104 S WESTERN AVE,60636,CHICAGO LAWN,66,18,17031661000,170316610004000,41.7644955967,-87.6833842675
"Three Roosters, Inc.",1980803,345267,4830,B,12247 S HALSTED ST,60628,WEST PULLMAN,53,34,17031530501,170315305012020,41.6709717654,-87.6415330496
Buy -n- Save,62460,19735,8000,B,209 E 103RD ST,60628,ROSELAND,49,9,17031490902,170314909022003,41.7071353216,-87.6182417299
A & B Food Market Inc,43181,6483,10001,A,5057 W DIVISION ST,60651,AUSTIN,25,37,17031251100,170312511004000,41.9021664421,-87.7531823487
Jewel Food Store,1385,259,20285,A,3531 N BROADWAY,60657,LAKE VIEW,6,46,17031061800,170310618001000,41.9463846516,-87.6465248633
Mr G's Food & Liquor,1429,263,3000,B,332 E 58TH ST,60637,WASHINGTON PARK,40,20,17031400400,170314004002002,41.7894298575,-87.6178403398
Aldi Foods,14008,5273,16340,A,9017 S HALSTED ST,60620,AUBURN GRESHAM,71,21,17031711500,170317115002037,41.7302972736,-87.6433090924
Supermercado La Villa,1800261,313811,9000,B,5020 W FULLERTON AVE,60639,BELMONT CRAGIN,19,31,17031190800,170311908003018,41.9242727136,-87.7521150377
Cermak Produce,1574003,286531,14000,A,4401 W ARMITAGE AVE,60639,HERMOSA,20,31,17031831200,170318312002004,41.9169344398,-87.7363871475
Melissa's Food & Liquors Inc,29494,11681,3500,B,3867 W GRAND AVE,60651,HUMBOLDT PARK,23,27,17031230700,170312307003012,41.9050594546,-87.7239513845
La Merced Inc,6834,3685,10001,A,4335 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301801,170313018012007,41.8440327965,-87.7324328647
J & A Oriental Food Mart,30859,8995,10001,A,5755 W FULLERTON AVE,60639,BELMONT CRAGIN,19,37,17031191302,170311913022003,41.9237993545,-87.7706332364
West Haven Market & Grill,17558,7111,3200,B,2132 W WASHINGTON BLVD,60612,NEAR WEST SIDE,28,2,17031837800,170318378002019,41.8831944724,-87.6804664902
Sahar International Supermarket,2079006,263556,7900,B,4851 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140100,170311401002004,41.9699575396,-87.7083728782
Walgreens,18619,7551,,A,5401 S WENTWORTH AVE,60609,FULLER PARK,37,3,17031835600,170318000000000,41.7962348800,-87.6304049200
"Park Packing Of Chicago, Inc.",2008956,340517,3500,B,1544 W 41ST ST,60609,NEW CITY,61,11,17031842600,170318426002022,41.8191594443,-87.6642353554
"R & S Discount Food, Wine, & Liquor",8647,4130,2800,B,2425 W DIVERSEY AVE,60647,LOGAN SQUARE,22,1,17031830900,170318309003001,41.9320468510,-87.6889786863
Cermak Produce,1649774,298958,10000,A,3435 S ARCHER AVE,60608,MCKINLEY PARK,59,11,17031840300,170318403002016,41.8313499001,-87.6758478479
National Fruit Stop,23627,9531,3000,B,3523 W LAWRENCE AVE,60625,ALBANY PARK,14,33,17031140701,170311407012002,41.9682556374,-87.7168773813
Whole Foods,41689,5033,72000,A,1763 W HOWARD ST,60626,ROGERS PARK,1,49,17031010202,170310102021001,42.0192885501,-87.6750585094
Jamaica Food & Liquor Inc,22679,9341,2500,B,4252 S COTTAGE GROVE AVE,60653,GRAND BOULEVARD,38,4,17031380100,170313801001032,41.8170297652,-87.6068579199
"Carniceria La Mejor Produce, Inc.",1800292,313836,4500,B,2915 N MILWAUKEE AVE,60618,AVONDALE,21,35,17031210602,170312106023005,41.9343143994,-87.7157719991
Whole Foods,76395,86298,30591,A,30 W HURON ST,60610,NEAR NORTH SIDE,8,42,17031081600,170310816002002,41.8949686732,-87.6293991787
Bari,1245246,246600,2500,B,1120 W GRAND AVE,60622,WEST TOWN,24,27,17031243500,170312435001021,41.8912101212,-87.6555602414
Jewel Food Store,1325,259,25490,A,4250 N LINCOLN AVE,60618,NORTH CENTER,5,47,17031050200,170310502002007,41.9591004330,-87.6823922417
Jolanta's International Deli,26376,10856,10001,A,5914 W HIGGINS AVE,60630,JEFFERSON PARK,11,45,17031110400,170311104003013,41.9727914969,-87.7763718583
El Milagro,43513,2718,5500,B,3048 W 26TH ST,60623,SOUTH LAWNDALE,30,12,17031300900,170313009001012,41.8446873274,-87.7021029360
Harvestime Foods,43697,16317,8750,B,2632 W LAWRENCE AVE,60625,LINCOLN SQUARE,4,40,17031040201,170310402013015,41.9686702259,-87.6951627475
Chicago Grocers,1332221,258200,2500,B,2122 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310205001013,41.9979458853,-87.6835687050
Noor Meat,61680,19506,3000,B,2505 W DEVON AVE,60659,WEST RIDGE,2,50,17031020802,170310208024002,41.9975738059,-87.6925485988
Trattoria Isabella,1842843,320408,3365,B,217 N JEFFERSON ST,60661,NEAR WEST SIDE,28,42,17031280100,170312801001026,41.8862936679,-87.6426439206
Dollar Deals & Up,1276566,252997,2500,B,2057 N PULASKI RD,60639,HERMOSA,20,30,17031200402,170312004021000,41.9188912639,-87.7264653150
Save-a-lot,2079232,216203,13000,A,148 W 79TH ST,60620,GREATER GRAND CROSSING,69,17,17031691200,170316912002015,41.7509837901,-87.6289614545
L'appetito,42672,16220,2900,B,875 N MICHIGAN AVE,60611,NEAR NORTH SIDE,8,42,17031081300,170310813003001,41.8989485417,-87.6239749877
"Tony's Finer Foods Enterprises, Inc.",1717867,305203,21000,A,3607 W FULLERTON AVE,60647,LOGAN SQUARE,22,35,17031220902,170312209022000,41.9244900940,-87.7172881310
Jewel Food Store,1356,259,22295,A,3940 E 106TH ST,60617,EAST SIDE,52,10,17031520400,170315204001013,41.7028060951,-87.5277040116
Save-a-lot,1272455,216203,12000,A,420 S PULASKI RD,60624,WEST GARFIELD PARK,26,24,17031260700,170312607002016,41.8745373122,-87.7255969017
Miceli's Deli & Food Mart,44924,16493,4000,B,2448 S OAKLEY AVE,60608,LOWER WEST SIDE,31,25,17031841300,170318413003008,41.8470204640,-87.6831995522
Whole Foods,41657,5033,10001,A,2101 E 71ST ST,60649,SOUTH SHORE,43,5,17031430600,170314306001008,41.7659900011,-87.5737873367
Ma's & Pa's Grocery Snack Shop,7302,3806,4500,B,804 S CALIFORNIA AVE,60612,EAST GARFIELD PARK,27,2,17031271800,170312718001017,41.8708776439,-87.6961668842
Jewel Food Store,1368,259,30745,A,87 W 87TH ST,60620,CHATHAM,44,21,17031842400,170318424002071,41.7361451282,-87.6269178440
Pete's Market,1243125,245519,45000,A,4700 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031842800,170318428004023,41.8080472717,-87.7041188223
La Guerrerense,67114,43885,3000,B,4149 W ARMITAGE AVE,60639,HERMOSA,20,30,17031831200,170318312003003,41.9170000028,-87.7309892645
Louis' Groceries,2153429,372246,,A,7604 S COTTAGE GROVE AVE,60619,GREATER GRAND CROSSING,69,6,17031691400,170317000000000,41.7565503100,-87.6054828500
"Szymanski Bros, Inc",18082,86677,3000,B,6016 W IRVING RD,60634,PORTAGE PARK,15,38,17031150502,170311505022015,41.9531497374,-87.7775174877
Supermercado Guadalajara,3991,23651,6000,B,2300 S KEDZIE AVE,60623,SOUTH LAWNDALE,30,24,17031300800,170313008001012,41.8498575327,-87.7053434771
Jewel Food Store,1380,259,23660,A,4355 N SHERIDAN RD,60613,UPTOWN,3,46,17031032100,170310321001001,41.9613977799,-87.6545929748
Carniceria Del Rio,1801493,314238,3000,B,2714 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318407003012,41.8520347381,-87.6936969081
Fiesta Supermarcado,1196305,221943,14500,A,3307 W 63RD ST,60629,CHICAGO LAWN,66,15,17031660500,170316605001002,41.7788185771,-87.7059035755
Aldi Foods,13990,5273,16300,A,8333 S CICERO AVE,60652,ASHBURN,70,18,17031700302,170317003023005,41.7409110654,-87.7409228594
Wally's International Market,32288,14504,10001,A,3256 N MILWAUKEE AVE,60618,AVONDALE,21,31,17031831100,170318311003024,41.9401778125,-87.7258584348
Ziad Certified Foods,9046,4213,2500,B,513 E 47TH ST,60653,GRAND BOULEVARD,38,3,17031381200,170313812002015,41.8093228701,-87.6133355212
Supermercado El Cubano Inc,57265,6678,2750,B,4939 S ASHLAND AVE,60609,NEW CITY,61,20,17031611200,170316112002009,41.8037823230,-87.6646953279
Fairplay Finer Food,10949,86481,10001,A,4640 S HALSTED ST,60609,NEW CITY,61,11,17031842600,170318426002035,41.8096297680,-87.6457075651
Rite Price Food,1198136,222688,3600,B,5606 W DIVISION ST,60651,AUSTIN,25,29,17031250600,170312506002013,41.9022506897,-87.7659509238
Kamdar Plaza Inc,4429,3241,5500,B,2646 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,170310206023014,41.9977219015,-87.6966411029
J & J European Deli,21936,63361,3000,B,5960 W LAWRENCE AVE,60630,PORTAGE PARK,15,45,17031150401,170311504013000,41.9677648001,-87.7770202043
World Fresh Market,1492163,21515,5500,B,2434 W DEVON AVE,60659,WEST RIDGE,2,50,17031020602,170310206022013,41.9978179260,-87.6912518856
