Community Area Number,Neighborhood,Easy_Access_FruitVeg_Number,Easy_Access_FruitVeg_Percent,Adult_FruitVeg_Servings_Number,Adult_FruitVeg_Servings_Percent,Adult_Soda_Consumption_Number,Adult_Soda_Consumption_Percent,Adult_Obesity_Number,Adult_Obesity_Percent,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX
1,Rogers Park,"41,600",68.3,"22,000",37.3,"10,000",16.5,"20,500",33.5,7.7,23.6,8.7,18.2,27.5,23939,39
2,West Ridge,"43,200",71.7,"12,700",23.6,"9,900",17.0,"14,600",24.2,7.8,17.2,8.8,20.8,38.5,23040,46
3,Uptown,"29,500",76.5,"11,400",30.0,"7,300",18.8,"7,900",20.0,3.8,24,8.9,11.8,22.2,35787,20
4,Lincoln Square,"27,500",83.1,"15,300",44.1,"2,800",8.6,"7,600",23.0,3.4,10.9,8.2,13.4,25.5,37524,17
5,North Center,"21,100",81.2,"8,000",31.1,"6,400",24.3,"4,300",16.6,0.3,7.5,5.2,4.5,26.2,57123,6
6,Lakeview,"68,000",82.9,"29,500",39.5,"9,400",11.5,"14,600",17.8,1.1,11.4,4.7,2.6,17,60058,5
7,Lincoln Park,"59,000",87.4,"24,400",38.8,"10,200",15.5,"12,900",19.1,0.8,12.3,5.1,3.6,21.5,71551,2
8,Near North Side,"58,400",80.4,"24,000",35.3,"11,600",15.8,"13,200",17.8,1.9,12.9,7,2.5,22.6,88669,1
9,Edison Park,"10,200",93.6,"4,100",39.3,"3,100",28.3,"2,000",18.8,1.1,3.3,6.5,7.4,35.3,40959,8
10,Norwood Park,"27,600",85.4,"6,500",19.9,"2,200",6.7,"9,000",27.9,2,5.4,9,11.5,39.5,32875,21
11,Jefferson Park,"15,200",65.3,"6,400",31.2,"5,700",24.4,"4,900",20.8,2.7,8.6,12.4,13.4,35.5,27751,25
12,Forest Glen,"11,700",82.5,"5,000",40.4,"2,400",17.5,"2,900",20.3,1.1,7.5,6.8,4.9,40.5,44164,11
13,North Park,"11,500",80.9,"4,300",30.8,"2,400",15.9,"6,000",39.9,3.9,13.2,9.9,14.4,39,26576,33
14,Albany Park,"32,200",78.5,"11,400",29.1,"10,100",24.9,"12,500",29.5,11.3,19.2,10,32.9,32,21323,53
15,Portage Park,"43,900",75.3,"18,100",34.4,"11,300",19.6,"21,200",36.3,4.1,11.6,12.6,19.3,34,24336,35
16,Irving Park,"28,300",68.1,"11,300",27.5,"8,100",19.1,"13,300",31.4,6.3,13.1,10,22.4,31.6,27249,34
17,Dunning,"22,800",73.5,"5,700",17.7,"9,800",31.5,"9,800",31.5,5.2,10.6,10,16.2,33.6,26282,28
18,Montclare,"7,700",79.0,"3,000",33.1,"2,100",21.2,"4,100",41.6,8.1,15.3,13.8,23.5,38.6,22014,50
19,Belmont Cragin,"31,200",59.3,"10,200",18.9,"12,900",24.8,"13,700",25.9,10.8,18.7,14.6,37.3,37.3,15461,70
20,Hermosa,"7,900",49.0,"3,800",25.7,"5,000",33.0,"7,300",45.2,6.9,20.5,13.1,41.6,36.4,15089,71
21,Avondale,"21,400",64.4,"9,100",27.3,"5,000",14.7,"14,400",42.0,6,15.3,9.2,24.7,31,20039,42
22,Logan Square,"44,900",70.5,"21,700",36.9,"11,400",18.1,"14,700",22.9,3.2,16.8,8.2,14.8,26.2,31908,23
23,Humboldt Park,"23,000",56.9,"5,100",13.9,"13,200",33.0,"13,600",33.5,14.8,33.9,17.3,35.4,38,13781,85
24,West Town,"50,800",76.5,"18,600",30.4,"13,100",19.7,"14,300",21.5,2.3,14.7,6.6,12.9,21.7,43198,10
25,Austin,"38,200",55.4,"11,000",17.3,"25,600",35.9,"27,500",38.4,6.3,28.6,22.6,24.4,37.9,15957,73
26,West Garfield Park,"8,800",62.7,"3,200",23.1,"6,500",47.3,"7,100",48.4,9.4,41.7,25.8,24.5,43.6,10934,92
27,East Garfield Park,"8,800",72.2,"2,800",25.2,"3,600",30.1,"5,300",43.5,8.2,42.4,19.6,21.3,43.2,12961,83
28,Near West Side,"42,900",78.8,"14,900",27.7,"10,300",19.1,"13,200",24.1,3.8,20.6,10.7,9.6,22.2,44689,15
29,North Lawndale,"11,600",49.8,"3,500",15.0,"10,500",44.0,"10,800",44.1,7.4,43.1,21.2,27.6,42.7,12034,87
30,South Lawndale,"28,600",55.8,"6,800",14.1,"15,300",30.0,"21,500",41.5,15.2,30.7,15.8,54.8,33.8,10402,96
31,Lower West Side,"11,700",60.0,"6,300",37.6,"5,000",25.4,"3,900",19.9,9.6,25.8,15.8,40.7,32.6,16444,76
32,Loop,"31,900",81.2,"13,600",34.2,"7,400",18.8,"2,700",6.7,1.5,14.7,5.7,3.1,13.5,65526,3
33,Near South Side,"17,500",74.7,"5,300",25.5,"2,700","
11.9","3,000",13.0,1.3,13.8,4.9,7.4,21.8,59077,7
34,Armour Square,"3,600",78.1,NA,NA,NA,NA,NA,NA,5.7,40.1,16.7,34.5,38.3,16148,82
35,Douglas,"6,700",45.7,"5,100",37.5,"2,900",19.9,"3,900",26.2,1.8,29.6,18.2,14.3,30.7,23791,47
36,Oakland,"1,200",35.7,900,25.1,900,26.1,"1,200",33.8,1.3,39.7,28.7,18.4,40.4,19252,78
37,Fuller Park,"4,300",65.4,NA,NA,"3,100",47.4,NA,NA,3.2,51.2,33.9,26.6,44.9,10432,97
38,Grand Boulevard,"10,600",64.5,"4,400",32.0,"4,300",26.7,"5,700",34.2,3.3,29.3,24.3,15.9,39.5,23472,57
39,Kenwood,"9,500",68.7,"4,500",35.2,"2,400",17.4,"3,600",26.2,2.4,21.7,15.7,11.3,35.4,35911,26
40,Washington Park,"3,000",42.3,"2,000",25.0,"4,300",60.1,"3,000",42.8,5.6,42.1,28.6,25.4,42.8,13785,88
41,Hyde Park,"23,700",75.4,"7,600",29.4,"2,600",8.2,"4,800",15.4,1.5,18.4,8.4,4.3,26.2,39056,14
42,Woodlawn,"7,700",48.4,"3,400",23.3,"5,500",34.2,"7,500",46.8,2.9,30.7,23.4,16.5,36.1,18672,58
43,South Shore,"21,400",61.1,"8,600",26.2,"13,200",38.2,"13,200",37.4,2.8,31.1,20,14,35.7,19398,55
44,Chatham,"20,000",65.8,"7,400",26.2,"8,200",27.4,"12,400",40.5,3.3,27.8,24,14.5,40.3,18881,60
45,Avalon Park,"5,000",48.0,"1,000",9.3,"5,300",50.8,"5,700",54.4,1.4,17.2,21.1,10.6,39.3,24454,41
46,South Chicago,"10,300",59.3,"3,700",22.1,"7,100",41.4,"7,900",45.2,4.7,29.8,19.7,26.6,41.1,16579,75
47,Burnside,NA,NA,NA,NA,NA,NA,NA,NA,6.8,33,18.6,19.3,42.7,12515,79
48,Calumet Heights,"7,100",70.1,"2,600",24.9,"4,800",50.1,"3,600",35.0,2.1,11.5,20,11,44,28887,38
49,Roseland,"18,300",57.0,"5,200",16.9,"10,600",33.2,"16,800",52.4,2.5,19.8,20.3,16.9,41.2,17949,52
50,Pullman,"4,000",71.6,"2,100",36.6,"1,000",18.0,"1,800",32.3,1.5,21.6,22.8,13.1,38.6,20588,51
51,South Deering,"8,400",51.1,"3,500",20.0,"5,700",36.4,"6,700",40.8,4,29.2,16.3,21,39.5,14685,65
52,East Side,"10,100",71.0,"3,300",27.9,"7,200",49.4,"4,500",31.0,6.8,19.2,12.1,31.9,42.8,17104,64
53,West Pullman,"13,000",57.1,"3,500",17.1,"9,400",41.8,"10,200",45.0,3.3,25.9,19.4,20.5,42.1,16563,62
54,Riverdale,"2,000",64.4,NA,NA,NA,NA,700,24.1,5.8,56.5,34.6,27.5,51.5,8201,98
55,Hegewisch,"7,100",76.5,"2,500",27.1,"3,500",38.8,"4,600",49.9,3.3,17.1,9.6,19.2,42.9,22677,44
56,Garfield Ridge,"17,300",74.1,"5,500",27.3,"9,100",39.8,"8,700",37.3,2.6,8.8,11.3,19.3,38.1,26353,32
57,Archer Heights,"4,400",58.8,NA,NA,"1,400","
19.9","4,100",55.4,8.5,14.1,16.5,35.9,39.2,16134,67
58,Brighton Park,"18,500",56.7,"6,200",23.3,"11,800",36.5,"10,800",32.9,14.4,23.6,13.9,45.1,39.3,13089,84
59,McKinley Park,"9,900",84.3,"3,000",25.7,"3,000",25.9,"2,400",20.1,7.2,18.7,13.4,32.9,35.6,16954,61
60,Bridgeport,"19,500",76.9,"7,100",31.1,"6,200",24.7,"5,400",21.3,4.5,18.9,13.7,22.2,31.3,22694,43
61,New City,"17,100",53.6,"6,400",21.4,"13,600",42.3,"12,600",38.9,11.9,29,23,41.5,38.9,12765,91
62,West Elsdon,"10,400",77.1,"2,900",21.2,"3,900",29.0,"5,600",41.6,11.1,15.6,16.7,37,37.7,15754,69
63,Gage Park,"19,600",70.9,"6,000",22.3,"6,800",24.4,"10,200",36.3,15.8,23.4,18.2,51.5,38.8,12171,93
64,Clearing,"15,900",74.3,"2,500",13.2,"8,000",38.8,"6,700",31.2,2.7,8.9,9.5,18.8,37.6,25113,29
65,West Lawn,"16,300",69.4,"5,700",25.3,"8,000",34.4,"6,800",28.9,5.8,14.9,9.6,33.6,39.6,16907,56
66,Chicago Lawn,"22,900",53.9,"10,200",25.7,"16,500",38.7,"17,600",40.5,7.6,27.9,17.1,31.2,40.6,13231,80
67,West Englewood,"13,400",60.9,"4,000",18.3,"7,700",36.3,"11,400",51.0,4.8,34.4,35.9,26.3,40.7,11317,89
68,Englewood,"14,000",54.5,"5,600",24.3,"9,800",39.1,"9,100",34.3,3.8,46.6,28,28.5,42.5,11888,94
69,Greater Grand Crossing,"11,500",56.8,"4,900",26.6,"5,600",27.6,"9,700",47.1,3.6,29.6,23,16.5,41,17285,66
70,Ashburn,"26,600",75.1,"7,200",21.3,"10,800",30.4,"11,200",31.6,4,10.4,11.7,17.7,36.9,23482,37
71,Auburn Gresham,"20,400",65.0,"5,600",19.4,"11,100",35.0,"13,100",41.2,4,27.6,28.3,18.5,41.9,15528,74
72,Beverly,"16,000",86.2,"8,600",44.8,"2,800",15.5,"5,000",27.2,0.9,5.1,8,3.7,40.5,39523,12
73,Washington Heights,"11,300",59.5,"2,700",15.5,"7,300",38.1,"7,700",39.9,1.1,16.9,20.8,13.7,42.6,19713,48
74,Mount Greenwood,"8,400",82.6,"3,100",30.5,"2,900",28.3,"2,400",23.6,1,3.4,8.7,4.3,36.8,34381,16
75,Morgan Park,"12,100",73.2,"3,900",28.8,"5,600",34.1,"7,700",46.5,0.8,13.2,15,10.8,40.3,27149,30
76,O'Hare,"6,600",74.4,"2,600",32.7,"3,000",36.6,"1,200",13.2,3.6,15.4,7.1,10.9,30.3,25828,24
77,Edgewater,"38,300",84.9,"13,000",32.3,"7,400",16.5,"9,400",20.8,4.1,18.2,9.2,9.7,23.8,33385,19